Order Year,Order Month,Order Quarter,Region,Product Category,Product_Group,Price_Tier,Sales,Quantity,Discount,Profit,Profit Margin,Shipping Cost,Browsing Time (min),Average_Order_Value,Discount_Level,Profit_Margin_Level,LTV_Proxy,Education_Level,Is_Holiday_Season,Purchase_Frequency,Season
2024,7,Q3,西南,家居,产品35,低价,1452.0212024646796,7,0.2532557687472245,325.85349057407933,31.39067805686589,13.641514356267328,35.61334575049836,207.4316003520971,高折扣,超高利润,1907.8205034477999,高等教育,True,低频,夏
2022,3,Q1,华北,食品,产品11,中价,3866.04852147469,8,0.0417907016123742,969.2781834614768,16.75603096041121,33.72537877614904,34.877071181742195,483.25606518433625,低折扣,中利润,4513.844808677509,中等教育,False,中频,春
2024,3,Q1,华南,电子产品,产品21,中价,1208.7349070156124,1,0.1560695881512076,933.7468765354836,49.185739502912426,34.45547860506191,38.72935116439369,1208.7349070156124,中等折扣,超高利润,1803.2601096610822,其他,False,低频,春
2024,8,Q3,华北,服装,产品11,低价,3492.5361001566293,2,0.0111339959886906,871.9647535321775,45.40541471484135,47.93422617060353,1.0081485929994836,1746.2680500783147,低折扣,超高利润,5078.336600498294,高等教育,True,高频,夏
2022,5,Q2,华东,美妆,产品30,高价,1243.3308309817005,8,0.0242009302173532,427.6115371674269,10.78320507998524,39.882241783802165,16.94698209226191,155.41635387271256,低折扣,中利润,1377.401744309142,中等教育,False,低频,春
2022,4,Q2,华北,美妆,产品48,高价,3164.117832776824,9,0.2017044802928594,694.3887516418766,6.177125404553893,41.16358162191621,33.45453622551457,351.5686480863138,高折扣,低利润,3359.5693592553007,中等教育,False,低频,春
2024,8,Q3,华东,食品,产品35,中价,3760.6835089322417,4,0.206754423128255,903.801013965605,35.97488430497046,28.922033705805205,27.387636488852205,940.1708772330604,高折扣,超高利润,5113.585050346719,高等教育,True,低频,夏
2023,6,Q2,华东,美妆,产品22,高价,1171.6980556420422,9,0.1024408219825327,851.9251928021388,32.18587829854408,13.40513632230668,8.813168115791177,130.1886728491158,中等折扣,超高利润,1548.8193658573973,高等教育,False,高频,夏
2024,2,Q1,华南,美妆,产品38,高价,393.7221742204106,4,0.0646829295729134,420.1837438800056,47.111703085001565,24.150351457325822,14.364255919895996,98.43054355510264,低折扣,超高利润,579.211395918943,高等教育,True,高频,冬
2024,4,Q2,西南,电子产品,产品31,中价,741.771340671453,9,0.2441130812271923,121.2621888290381,15.530237922216642,29.72703080803192,15.8188748876127,82.41903785238367,高折扣,中利润,856.9701947165457,其他,False,高频,春
2024,12,Q4,华北,家居,产品14,低价,3069.3851396280247,7,0.0651309688409671,84.87406019620397,8.797457655274417,35.52886632711706,25.984436891581904,438.4835913754321,低折扣,低利润,3339.412997564086,高等教育,True,低频,冬
2024,11,Q4,华东,食品,产品24,中价,4262.287390506104,2,0.1626081208999139,581.2934047734457,16.66469001973939,32.346910032436725,37.59032504340736,2131.143695253052,中等折扣,中利润,4972.584371884385,高等教育,False,高频,秋
2022,4,Q2,华北,电子产品,产品49,中价,320.4844240535794,9,0.2904626522588716,646.2016558588223,5.851743823015855,22.72900230127596,42.02963831021791,35.60938045039771,高折扣,低利润,339.2383515418627,中等教育,False,高频,春
2024,6,Q2,西南,家居,产品32,低价,3697.3411693040666,4,0.0443557313587151,851.3441785510538,6.615173803501959,16.939089814812863,34.00406616556012,924.3352923260167,低折扣,低利润,3941.926713761962,其他,False,中频,夏
2023,6,Q2,西南,电子产品,产品36,中价,1772.4613651552554,8,0.2822628802484127,299.5898701376207,46.16860126643418,12.570387944165738,38.08981716777964,221.55767064440693,高折扣,超高利润,2590.781985435381,其他,False,中频,夏
2022,1,Q1,西北,电子产品,产品32,中价,2444.7890126056604,7,0.0548679159206005,175.79578564454206,20.840746212584524,36.22304238225199,21.684222171866708,349.25557322938005,低折扣,高利润,2954.301286155957,高等教育,True,中频,冬
2023,8,Q3,西南,美妆,产品15,高价,4651.411794243271,7,0.1702329624069688,385.2157748464175,23.486405045435628,34.042940344061826,18.150114063380645,664.4873991776102,中等折扣,高利润,5743.861208570411,其他,True,低频,夏
2023,6,Q2,华南,家居,产品43,低价,1726.6603732056428,8,0.1131023135876233,360.0393723959523,5.826724454214698,35.9317609591013,18.279175414345545,215.83254665070535,中等折扣,低利润,1827.268115412451,其他,False,中频,夏
2023,3,Q1,华东,食品,产品35,中价,2380.150976303481,1,0.2894785804505477,141.1442644776762,17.1734801077331,21.76373537612577,28.105695246958117,2380.150976303481,高折扣,中利润,2788.9057307529743,中等教育,False,中频,春
2023,9,Q3,西北,食品,产品3,中价,167.0438323273374,5,0.082062608700581,675.5598259880206,41.2126692683644,16.808352015683525,6.466415044455596,33.40876646546748,低折扣,超高利润,235.88705447760415,高等教育,False,低频,秋
2022,2,Q1,华南,家居,产品16,低价,499.833728023708,2,0.119897400625726,513.6050213220822,32.69709318500236,39.18745979064164,26.49774404277149,249.916864011854,中等折扣,超高利润,663.264827845691,其他,True,中频,冬
2022,11,Q4,华北,美妆,产品5,高价,1367.0987965604418,2,0.2948580353566261,723.9115285536186,38.92012704888869,39.81413277749003,30.265845848083924,683.5493982802209,高折扣,超高利润,1899.175385065594,高等教育,False,高频,秋
2023,8,Q3,华东,服装,产品21,低价,236.47598002326455,1,0.1609411173565419,359.16420896803737,25.124618335720328,25.502736828507828,20.311984569074507,236.47598002326455,中等折扣,高利润,295.88966745976404,高等教育,True,低频,夏
2023,10,Q4,西南,电子产品,产品10,中价,3193.73909763643,5,0.150789034686376,332.4451894619253,18.93781497880985,32.53568381452959,42.93935577793136,638.747819527286,中等折扣,中利润,3798.563498852728,高等教育,False,中频,秋
2022,3,Q1,华东,美妆,产品19,高价,2189.3519483279506,2,0.0773335464611973,477.85009451341705,26.726454199776665,21.808384890428357,27.76138398470131,1094.6759741639753,低折扣,高利润,2774.4880940697385,其他,False,中频,春
2022,12,Q4,华北,家居,产品25,低价,2785.911493367308,4,0.2104090680931324,878.6332719411955,19.5381980782588,36.587624005391305,10.679976778411508,696.477873341827,高折扣,中利润,3330.2283992263906,高等教育,True,高频,冬
2022,5,Q2,西北,电子产品,产品4,中价,955.7712108920148,3,0.0043118855333332,49.87849366664054,42.75369935033306,42.60747184915421,22.08551532707472,318.5904036306716,低折扣,超高利润,1364.3987608738246,其他,False,中频,春
2024,6,Q2,西北,食品,产品29,中价,1550.066944239419,3,0.014853788910688,806.7844891235073,18.395317201678058,35.97049748010423,30.71779523395293,516.6889814131397,低折扣,中利润,1835.2066754706184,中等教育,False,中频,夏
2024,10,Q4,西北,服装,产品19,低价,3352.739926778353,2,0.1798075761407408,375.2977365311789,34.68936382038877,28.066218208121143,15.239681481541076,1676.3699633891765,中等折扣,超高利润,4515.784077929931,高等教育,False,中频,秋
2024,6,Q2,西南,食品,产品43,中价,4829.983345788959,6,0.1025023721455362,856.0728355305929,11.164200003928752,25.639608177156664,4.50423067671702,804.9972242981598,中等折扣,中利润,5369.212346669288,高等教育,False,低频,夏
2023,4,Q2,华南,家居,产品2,低价,347.0421906508251,2,0.2859949116602882,804.1809787474979,35.90899221807095,33.90438429390849,26.67116792727894,173.52109532541255,高折扣,超高利润,471.6615438850528,中等教育,False,中频,春
2024,3,Q1,华南,电子产品,产品10,中价,4462.883172190804,8,0.2709572072168357,355.2736349221275,46.09848702200152,35.59149012205986,42.70628741926592,557.8603965238505,高折扣,超高利润,6520.204792130271,高等教育,False,低频,春
2023,4,Q2,华东,家居,产品43,低价,2926.7178864249213,8,0.2141118776030121,696.9377699683998,32.38624195879588,30.14282495860425,22.34316736477965,365.83973580311516,高折扣,超高利润,3874.571822573853,高等教育,False,低频,春
2023,1,Q1,西南,电子产品,产品25,中价,2863.2058771025563,5,0.2454436743383403,168.03642920570573,30.193492101551477,33.12240237983278,40.86879954846967,572.6411754205112,高折扣,超高利润,3727.707717456674,其他,True,高频,冬
2024,4,Q2,西北,美妆,产品20,高价,2551.364822518025,7,0.200199554900308,897.3187366421502,48.25032206097381,9.34649071225395,37.74103788835453,364.4806889311464,高折扣,超高利润,3782.406566333365,高等教育,False,低频,春
2023,1,Q1,西北,服装,产品48,低价,440.0310209304986,4,0.0376746308130482,410.4461538073903,33.23284498921309,47.8294482264047,7.486162479895268,110.00775523262465,低折扣,超高利润,586.265848020783,高等教育,True,中频,冬
2024,12,Q4,华北,美妆,产品19,高价,540.3965735071872,1,0.2296630109067607,461.0693592016482,16.679769497288717,40.58478786794153,32.159476560765114,540.3965735071872,高折扣,中利润,630.5334763394324,高等教育,True,高频,冬
2024,1,Q1,华北,美妆,产品23,高价,3044.4688277295218,2,0.0630575906156539,708.701460526615,18.15759607314832,21.82675413680527,20.160483103167053,1522.2344138647609,低折扣,中利润,3597.2711800415623,中等教育,True,中频,冬
2022,10,Q4,西北,家居,产品24,低价,1770.6970000342358,4,0.097032856530059,822.6318343378025,36.73879891411673,30.326567492913348,12.010838311569223,442.67425000855894,低折扣,超高利润,2421.2298102551113,高等教育,False,低频,秋
2024,6,Q2,西北,服装,产品11,低价,4594.613526230635,1,0.245770263630726,243.9793158949275,38.09464672514839,7.129603856138961,31.22528764933493,4594.613526230635,高折扣,超高利润,6344.915317434079,高等教育,False,低频,夏
2022,5,Q2,西南,电子产品,产品46,中价,2092.293633061414,8,0.1609576825180344,664.7366384782255,18.657330430505684,6.855251629957717,33.67707162088254,261.53670413267673,中等折扣,中利润,2482.6597697581137,高等教育,False,中频,春
2024,11,Q4,华南,电子产品,产品34,中价,802.0791476429413,9,0.2579822142550227,398.078063450257,20.54047900668486,16.28592508003832,8.915438024332907,89.11990529366014,高折扣,高利润,966.8300465815364,高等教育,False,低频,秋
2024,4,Q2,华北,食品,产品28,中价,3602.1222841599765,4,0.0639105959529792,375.0158947639217,49.59754289325892,36.03657390640805,41.23556601047317,900.5305710399941,低折扣,超高利润,5388.686429113858,高等教育,False,中频,春
2022,11,Q4,华南,电子产品,产品5,中价,1537.4317650609482,3,0.1823335315820661,693.1255657012482,9.587864731112486,43.34664865100053,34.0504787338634,512.4772550203161,中等折扣,低利润,1684.838643028147,中等教育,False,中频,秋
2022,3,Q1,西南,家居,产品5,低价,2674.8045060438767,2,0.0251372917644784,393.311441414375,23.20902627980447,30.16336459909318,42.06852196224662,1337.4022530219383,低折扣,高利润,3295.600586784994,高等教育,False,中频,春
2024,1,Q1,西北,美妆,产品21,高价,3519.3806489753333,5,0.1929182980620088,352.64741516276354,7.810138903887836,28.94597328120586,14.951221625602404,703.8761297950666,中等折扣,低利润,3794.2491662168563,其他,True,低频,冬
2023,6,Q2,华南,美妆,产品12,高价,4511.294144890145,3,0.2287602113326604,837.52952404498,41.94852628992085,23.10392902061597,42.33074069269142,1503.7647149633815,高折扣,超高利润,6403.715555275047,高等教育,False,高频,夏
2022,2,Q1,西北,美妆,产品4,高价,3981.736854528213,7,0.1754792681936165,110.26336259269632,9.155562752544451,12.271908018110953,17.214776944888758,568.8195506468876,中等折扣,低利润,4346.287270885733,中等教育,True,中频,冬
2023,8,Q3,西北,服装,产品49,低价,3414.169232576348,6,0.079869450449643,679.1336966019086,35.330331040822,10.32593455969644,3.3746695028052365,569.0282054293913,低折扣,超高利润,4620.406524739464,高等教育,True,中频,夏
2023,10,Q4,华东,电子产品,产品42,中价,3430.202593736204,1,0.00940280065766,256.2381398527184,7.541754080156693,39.230589254943474,34.570653103197024,3430.202593736204,低折扣,低利润,3688.900037806945,高等教育,False,低频,秋
2023,5,Q2,华南,家居,产品20,低价,4735.030755757224,8,0.0358346651892857,25.343259407928404,35.278476701436105,46.7376598083459,31.954358339887,591.878844469653,低折扣,超高利润,6405.47747773287,中等教育,False,高频,春
2022,7,Q3,华南,服装,产品38,低价,1549.5380777330265,2,0.1866908937222078,175.0966261839651,42.93666261174665,25.62274473738229,27.30808365958663,774.7690388665133,中等折扣,超高利润,2214.858014209801,高等教育,True,中频,夏
2023,10,Q4,西北,食品,产品25,中价,105.4492615613183,5,0.2803260650527541,610.5949144781091,22.94696871158258,34.67505464220372,22.55532475290365,21.08985231226366,高折扣,高利润,129.6466706183889,其他,False,中频,秋
2022,12,Q4,西南,家居,产品14,低价,1432.5773410511736,9,0.0619603211916019,712.035919571078,28.49569220444796,46.15059428964236,2.415271894195781,159.17526011679706,低折扣,高利润,1840.8001707477808,高等教育,True,中频,冬
